Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,week,year
42,God is a woman,Ariana Grande,3682001,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547,4,38,2018
43,Wasted (feat. Lil Uzi Vert),Juice WRLD,3677933,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB,0.742,0.579,0,-5.024,1,0.202,0.0381,0,0.0952,0.502,144.994,audio_features,3obgSF06ki98lYNLNq5vCB,spotify:track:3obgSF06ki98lYNLNq5vCB,https://api.spotify.com/v1/tracks/3obgSF06ki98lYNLNq5vCB,https://api.spotify.com/v1/audio-analysis/3obgSF06ki98lYNLNq5vCB,258475,4,38,2018
44,Youngblood,5 Seconds of Summer,3659453,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,audio_features,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418,4,38,2018
45,The Ringer,Eminem,3648459,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE,0.939,0.551,1,-9.126,1,0.291,0.0311,0,0.192,0.42,118.552,audio_features,2jt2WxXMCD4zjACthkJQVE,spotify:track:2jt2WxXMCD4zjACthkJQVE,https://api.spotify.com/v1/tracks/2jt2WxXMCD4zjACthkJQVE,https://api.spotify.com/v1/audio-analysis/2jt2WxXMCD4zjACthkJQVE,337941,4,38,2018
46,Promises (with Sam Smith),Calvin Harris,3546218,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4,38,2018
47,Girls Like You (feat. Cardi B),Maroon 5,3532952,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4,38,2018
48,rockstar (feat. 21 Savage),Post Malone,3530804,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,audio_features,0e7ipj03S05BNilyu5bRzt,spotify:track:0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,218147,4,38,2018
49,Be Alright,Dean Lewis,3413145,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,38,2018
50,Nice For What,Drake,3400858,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210747,4,38,2018
51,Beautiful (feat. Camila Cabello),Bazzi,3261990,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,audio_features,4VUwkH455At9kENOfzTqmF,spotify:track:4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/tracks/4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,180000,4,38,2018
52,Drew Barrymore,Bryce Vine,3237598,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV,0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,audio_features,0OgGn1ofaj55l2PcihQQGV,spotify:track:0OgGn1ofaj55l2PcihQQGV,https://api.spotify.com/v1/tracks/0OgGn1ofaj55l2PcihQQGV,https://api.spotify.com/v1/audio-analysis/0OgGn1ofaj55l2PcihQQGV,191147,4,38,2018
53,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,3212029,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N,0.539,0.651,1,-5.304,1,0.0432,0.0651,0,0.0662,0.474,105.159,audio_features,15kQGEy89K8deJcZVFEn0N,spotify:track:15kQGEy89K8deJcZVFEn0N,https://api.spotify.com/v1/tracks/15kQGEy89K8deJcZVFEn0N,https://api.spotify.com/v1/audio-analysis/15kQGEy89K8deJcZVFEn0N,199227,4,38,2018
54,Look Alive (feat. Drake),BlocBoy JB,3177796,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,audio_features,4qKcDkK6siZ7Jp1Jb4m0aL,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,38,2018
55,RAP DEVIL,Machine Gun Kelly,3084372,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr,0.896,0.834,9,-4.682,0,0.238,0.215,3.92e-06,0.184,0.776,149.968,audio_features,43TP6JCWXgkc2D7Xjz5hBr,spotify:track:43TP6JCWXgkc2D7Xjz5hBr,https://api.spotify.com/v1/tracks/43TP6JCWXgkc2D7Xjz5hBr,https://api.spotify.com/v1/audio-analysis/43TP6JCWXgkc2D7Xjz5hBr,281587,4,38,2018
56,I Fall Apart,Post Malone,3049110,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,audio_features,75ZvA4QfFiZvzhj2xkaWAh,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,223347,4,38,2018
